A,C,D
5.71580956338,2.66e45,2.35e44
2.63759170408,3.99e43,1.56e43
0.531011127983,3.69e44,1.90e44
0.183625367232,3.47e45,1.28e43
7.92889241052,5.48e43,4.06e43
0.197091543499,1.28e45,5.92e43
1.71559445493,6.45e44,4.22e43
0.246670043675,9.77e43,8.90e43
6.28434882073,3.95e44,4.37e43
2.70575271896,5.36e44,4.45343
3.47393705214,2.81e43,5.23e43
3.17103819452,2.01e45,3.7e44
0.920595294757,8.19e45,7.33e44
0.420069972529,1.66e44,3.06e43
1.87073918033,7.28e44,5.35e43
3.40150502785,1.18e45,3.47e44
4.23027439225,1.78e44,1.52e44
1.57355351302,1.57e45,3.99e44
2.72470436521,2.07e45,4.85e44
0.251563726216,1.48e45,1.82e44
3.78083155184,1.12e45,6.22e43
0.298258874578,9.34e44,1.25e44
0.940077940158,6.98e44,1.16e44
3.72911413065,4.11e44,1.82e44
35.6088584388,4.19e45,5.80e44
0.414673290306,2.81e44,1.44e44
1.46086007282,2.93e45,5.11e44
7.69095769606,8.02e44,5.17e43
1.24306533433,7.05e44,1.77e44
0.0337337548785,5.36e44,4.45e43
1.6596225782,1.91e45,4.41e44
1.23315715872,8.01e43,8.02e43
3.33811137845,1.63e45,9.07e43
0.15103812421,1.32e45,3.76e44
0.557905346305,1.01e45,5.54e43
0.390857721762,6.82e44,3.90e44
0.278674855192,1.58e44,3.66e43
1.36424798622,4.69e44,2.25e44
0.218156306871,6.73e44,6.35e44
1.15537753889,1.19e44,1.81e44
1.76588785742,8.45e44,4.69e43
1.67676802858,2.03e45,3.18e44
0.163834540668,2.26e44,2.27e44
9.94806325793,9.33e44,9.22e43
0.418351791642,1.98e45,1.96e44
0.210566072362,4.85e45,5.90e44
0.885256785194,2.94e44,1.17e44
771.594049819,3.45e44,1.09e44
1.72924234752,7.25e44,2.72e44
0.160813836752,1.59e45,1.18e44
0.571004530939,3.34e45,1.23e44
0.418288080817,1.19e45,2.87e44
0.589198715027,1.52e44,3.65e43
0.801019284981,9.22e45,4.57e44
4.50453014228,1.47e45,1.37e44
3.99418379745,2.43e44,2.69e43
4.04391947651,3.99e45,6.26e44
1.15910056487,1.34e46,1.15e45
2.00368680564,2.24e44,3.72e43
0.976539113985,1.83e45,2.75e44
2.77345360683,1.83e45,8.44e43
4.37524406474,1.57e45,7.28e43
0.164498063033,3.47e45,9.61e43
2.75764053145,4.96e44,9.64e43
0.106426510944,2.89e44,7.87e43
1.66624882411,1.76e45,1.63e44
1.03998727677,1.18e45,5.45e43
0.327799506171,1.82e44,3.36e43
1.58393407204,5.56e44,5.12e43
0.0472846294707,9.08e44,5.85e43
0.812140362812,5.44e44,1.10e44
0.425009366775,8.59e44,3.95e43
3.29439082232,5.84e44,4.84e43
6.34438182912,2.07e45,7.69e43
3.42694705695,1.41e45,5.23e43
0.739035758565,3.38e44,3.12e43
0.113311170323,9.04e44,3.34e43
0.562392474093,1.32e43,5.22e43
0.297777236187,2.89e44,8.75e43
,6.62e44,2.14e44
,4.59e44,4.64e43
,2.73e44,3.28e43
,1.01e45,5.65e43
,2.20e45,8.13e43
,4.22e44,1.78e44
,5.85e43,7.93e43
,5.17e44,1.31e44
,3.41e45,1.42e44
,1.07e45,5.97e43
,1.48e45,1.32e44
,3.18e44,4.10e43
,8.92e44,1.23e44
,3.46e44,1.95e43
,9.01e44,4.97e43
,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
